Author,UppercaseLetter,UppercaseLetter_pertokens,LowercaseLetter,LowercaseLetter_pertokens,TitlecaseLetter,TitlecaseLetter_pertokens,ModifierLetter,ModifierLetter_pertokens,OtherLetter,OtherLetter_pertokens,NonSpacingMark,NonSpacingMark_pertokens,SpacingCombiningMark,SpacingCombiningMark_pertokens,EnclosingMark,EnclosingMark_pertokens,DecimalDigitNumber,DecimalDigitNumber_pertokens,LetterNumber,LetterNumber_pertokens,OtherNumber,OtherNumber_pertokens,SpaceSeparator,SpaceSeparator_pertokens,LineSeparator,LineSeparator_pertokens,ParagraphSeparator,ParagraphSeparator_pertokens,Control,Control_pertokens,Format,Format_pertokens,Surrogate,Surrogate_pertokens,PrivateUse,PrivateUse_pertokens,ConnectorPunctuation,ConnectorPunctuation_pertokens,DashPunctuation,DashPunctuation_pertokens,OpenPunctuation,OpenPunctuation_pertokens,ClosePunctuation,ClosePunctuation_pertokens,InitialQuotePunctuation,InitialQuotePunctuation_pertokens,FinalQuotePunctuation,FinalQuotePunctuation_pertokens,OtherPunctuation,OtherPunctuation_pertokens,MathSymbol,MathSymbol_pertokens,CurrencySymbol,CurrencySymbol_pertokens,ModifierSymbol,ModifierSymbol_pertokens,OtherSymbol,OtherSymbol_pertokens,OtherNotAssigned,OtherNotAssigned_pertokens,Toperror,Righterror,Downerror,Lefterror,Misspellratio,Tokens
44, 294,0.217,3916,2.888,0,0,0,0,0,0,0,0,0,0,0,0,17,0.013,0,0,0,0,848,0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0.212,8,0.006,9,0.007,0,0,18,0.013,1065,0.785,24,0.018,0,0,0,0,0,0,0,0,2,98,5,67,0.269,1356
44, 22,0.025,3336,3.719,0,0,0,0,0,0,0,0,0,0,0,0,10,0.011,0,0,0,0,709,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.003,3,0.003,162,0.181,0,0,0,0,0,0,0,0,0,0,2,104,3,101,0.657,897
44, 19,0.19,381,3.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.04,0,0,0,0,0,0,0,0,2,0.02,0,0,0,0,4,0.04,0,0,0,0,0,6,1,0,0.091,100
44, 10,0.116,259,3.012,0,0,0,0,0,0,0,0,0,0,0,0,6,0.07,0,0,0,0,106,1.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.047,4,0.047,0,0,0,0,18,0.209,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0.31,86
44, 27,0.196,349,2.529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0.348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138
53, 15,0.09,591,3.56,0,0,0,0,0,0,0,0,0,0,0,0,5,0.03,0,0,0,0,175,1.054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.036,1,0.006,1,0.006,0,0,0,0,26,0.157,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0.02,166
53, 30,0.142,765,3.626,0,0,0,0,0,0,0,0,0,0,0,0,5,0.024,0,0,0,0,226,1.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.009,0,0,0,0,0,0,0,0,31,0.147,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.028,211
53, 20,0.138,476,3.283,0,0,0,0,0,0,0,0,0,0,0,0,2,0.014,0,0,0,0,167,1.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,145
53, 22,0.129,588,3.439,0,0,0,0,0,0,0,0,0,0,0,0,2,0.012,0,0,0,0,181,1.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006,1,0.006,0,0,0,0,30,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,171
53, 9,0.084,364,3.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,1.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.009,1,0.009,1,0.009,0,0,0,0,11,0.103,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.028,107
53, 16,0.11,509,3.486,0,0,0,0,0,0,0,0,0,0,0,0,7,0.048,0,0,0,0,169,1.158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,146
62, 15,0.117,382,2.984,0,0,0,0,0,0,0,0,0,0,0,0,2,0.016,0,0,0,0,128,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008,0,0,2,0.016,2,0.016,0,0,0,0,37,0.289,2,0.016,0,0,0,0,0,0,0,0,0,1,0,7,0.209,128
62, 15,0.117,382,2.984,0,0,0,0,0,0,0,0,0,0,0,0,2,0.016,0,0,0,0,128,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.008,0,0,2,0.016,2,0.016,0,0,0,0,37,0.289,2,0.016,0,0,0,0,0,0,0,0,0,1,0,7,0.209,128
62, 4,0.333,48,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.25,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0.333,12
62, 9,0.196,180,3.913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,1.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.022,1,0.022,1,0.022,0,0,0,0,13,0.283,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0.188,46
62, 26,0.464,152,2.714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,1.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.087,56
62, 4,0.068,179,3.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.22,0,0,0,0,1,0.017,0,0,0,0,0,3,0,4,0.059,59
70, 15,0.12,408,3.264,0,0,0,0,0,0,0,0,0,0,0,0,3,0.024,0,0,0,0,136,1.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.016,0,0,1,0.008,0,0,0,0,19,0.152,1,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0.027,125
70, 116,0.374,1056,3.406,0,0,0,0,0,0,0,0,0,0,0,0,5,0.016,0,0,0,0,417,1.345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003,2,0.006,4,0.013,0,0,0,0,50,0.161,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0.131,310
70, 35,0.148,784,3.322,0,0,0,0,0,0,0,0,0,0,0,0,3,0.013,0,0,0,0,243,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.025,1,0.004,0,0,0,0,0,0,23,0.097,1,0.004,0,0,0,0,0,0,0,0,0,0,1,0,0.025,236
70, 57,0.288,639,3.227,0,0,0,0,0,0,0,0,0,0,0,0,5,0.025,0,0,0,0,193,0.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.015,3,0.015,3,0.015,0,0,0,0,39,0.197,1,0.005,0,0,0,0,0,0,0,0,0,4,0,0,0.115,198
70, 65,0.225,958,3.315,0,0,0,0,0,0,0,0,0,0,0,0,3,0.01,0,0,0,0,280,0.969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.187,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.03,289
70, 30,0.226,413,3.105,0,0,0,0,0,0,0,0,0,0,0,0,4,0.03,0,0,0,0,141,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.241,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0.043,133
76, 7,0.099,218,3.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.014,1,0.014,0,0,0,0,17,0.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,71
76, 13,0.058,805,3.61,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0,0,230,1.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.013,3,0.013,3,0.013,0,0,0,0,31,0.139,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.027,223
76, 25,0.072,1170,3.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,3,0.009,5,0.014,0,0,0,0,48,0.139,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.017,345
76, 17,0.055,1110,3.569,0,0,0,0,0,0,0,0,0,0,0,0,3,0.01,0,0,0,0,292,0.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.006,2,0.006,3,0.01,0,0,0,0,50,0.161,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.025,311
76, 4,0.2,55,2.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.05,2,0.1,0,0,0,0,3,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.091,20
76, 40,0.073,1878,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.011,5,0.009,5,0.009,0,0,0,0,73,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,546
78, 8,0.216,118,3.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
78, 11,0.124,332,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,1.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.135,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.016,89
